window_id,window_label,method,total_variant,total_static,valid_n,Δ_total,rate_per_1k_variant,rate_per_1k_static,Δ_rate_per_1k
Calm_2019_2019-05-12_2019-05-24,Calm_2019,CAPPED_minmax_IFw336q010_AEw336q975,2,7,289,-5,6.920415,24.221453,-17.301038
Calm_2019_2019-05-12_2019-05-24,Calm_2019,CAPPED_minmax_IFw336q010_AEw336q990,2,7,289,-5,6.920415,24.221453,-17.301038
Calm_2019_2019-05-12_2019-05-24,Calm_2019,CAPPED_minmax_IFw336q010_AEw720q950,5,7,289,-2,17.301038,24.221453,-6.920415
Calm_2019_2019-05-12_2019-05-24,Calm_2019,CAPPED_minmax_IFw336q010_AEw720q975,2,7,289,-5,6.920415,24.221453,-17.301038
Calm_2019_2019-05-12_2019-05-24,Calm_2019,CAPPED_minmax_IFw336q010_AEw720q990,2,7,289,-5,6.920415,24.221453,-17.301038
Calm_2019_2019-05-12_2019-05-24,Calm_2019,CAPPED_minmax_IFw336q030_AEw1080q950,7,7,289,0,24.221453,24.221453,0.0
Calm_2019_2019-05-12_2019-05-24,Calm_2019,CAPPED_minmax_IFw336q030_AEw1080q975,4,7,289,-3,13.84083,24.221453,-10.380623
Calm_2019_2019-05-12_2019-05-24,Calm_2019,CAPPED_minmax_IFw336q030_AEw1080q990,3,7,289,-4,10.380623,24.221453,-13.84083
Calm_2019_2019-05-12_2019-05-24,Calm_2019,CAPPED_minmax_IFw336q030_AEw336q950,7,7,289,0,24.221453,24.221453,0.0
Calm_2019_2019-05-12_2019-05-24,Calm_2019,CAPPED_minmax_IFw336q030_AEw336q975,3,7,289,-4,10.380623,24.221453,-13.84083
Calm_2019_2019-05-12_2019-05-24,Calm_2019,CAPPED_minmax_IFw336q030_AEw336q990,3,7,289,-4,10.380623,24.221453,-13.84083
Calm_2019_2019-05-12_2019-05-24,Calm_2019,CAPPED_minmax_IFw336q030_AEw720q950,6,7,289,-1,20.761246,24.221453,-3.460207
Calm_2019_2019-05-12_2019-05-24,Calm_2019,CAPPED_minmax_IFw336q030_AEw720q975,3,7,289,-4,10.380623,24.221453,-13.84083
Calm_2019_2019-05-12_2019-05-24,Calm_2019,CAPPED_minmax_IFw336q030_AEw720q990,3,7,289,-4,10.380623,24.221453,-13.84083
Calm_2019_2019-05-12_2019-05-24,Calm_2019,CAPPED_minmax_IFw720q010_AEw1080q950,6,7,289,-1,20.761246,24.221453,-3.460207
Calm_2019_2019-05-12_2019-05-24,Calm_2019,CAPPED_minmax_IFw720q010_AEw1080q975,3,7,289,-4,10.380623,24.221453,-13.84083
Calm_2019_2019-05-12_2019-05-24,Calm_2019,CAPPED_minmax_IFw720q010_AEw1080q990,2,7,289,-5,6.920415,24.221453,-17.301038
Calm_2019_2019-05-12_2019-05-24,Calm_2019,CAPPED_minmax_IFw720q010_AEw336q950,6,7,289,-1,20.761246,24.221453,-3.460207
Calm_2019_2019-05-12_2019-05-24,Calm_2019,CAPPED_minmax_IFw720q010_AEw336q975,2,7,289,-5,6.920415,24.221453,-17.301038
Calm_2019_2019-05-12_2019-05-24,Calm_2019,CAPPED_minmax_IFw720q010_AEw336q990,2,7,289,-5,6.920415,24.221453,-17.301038
Calm_2019_2019-05-12_2019-05-24,Calm_2019,CAPPED_minmax_IFw720q010_AEw720q950,5,7,289,-2,17.301038,24.221453,-6.920415
Calm_2019_2019-05-12_2019-05-24,Calm_2019,CAPPED_minmax_IFw720q010_AEw720q975,2,7,289,-5,6.920415,24.221453,-17.301038
Calm_2019_2019-05-12_2019-05-24,Calm_2019,CAPPED_minmax_IFw720q010_AEw720q990,2,7,289,-5,6.920415,24.221453,-17.301038
Calm_2019_2019-05-12_2019-05-24,Calm_2019,CAPPED_minmax_IFw720q030_AEw1080q950,9,7,289,2,31.141869,24.221453,6.920416
Calm_2019_2019-05-12_2019-05-24,Calm_2019,CAPPED_minmax_IFw720q030_AEw1080q975,6,7,289,-1,20.761246,24.221453,-3.460207
Calm_2019_2019-05-12_2019-05-24,Calm_2019,CAPPED_minmax_IFw720q030_AEw1080q990,5,7,289,-2,17.301038,24.221453,-6.920415
Calm_2019_2019-05-12_2019-05-24,Calm_2019,CAPPED_minmax_IFw720q030_AEw336q950,9,7,289,2,31.141869,24.221453,6.920416
Calm_2019_2019-05-12_2019-05-24,Calm_2019,CAPPED_minmax_IFw720q030_AEw336q975,5,7,289,-2,17.301038,24.221453,-6.920415
Calm_2019_2019-05-12_2019-05-24,Calm_2019,CAPPED_minmax_IFw720q030_AEw336q990,5,7,289,-2,17.301038,24.221453,-6.920415
Calm_2019_2019-05-12_2019-05-24,Calm_2019,CAPPED_minmax_IFw720q030_AEw720q950,8,7,289,1,27.681661,24.221453,3.460208
Calm_2019_2019-05-12_2019-05-24,Calm_2019,CAPPED_minmax_IFw720q030_AEw720q975,5,7,289,-2,17.301038,24.221453,-6.920415
Calm_2019_2019-05-12_2019-05-24,Calm_2019,CAPPED_minmax_IFw720q030_AEw720q990,5,7,289,-2,17.301038,24.221453,-6.920415
Calm_2019_2019-05-12_2019-05-24,Calm_2019,DWELL_PATTERN_IFw1080q010_AEw1080q950,3,7,289,-4,10.380623,24.221453,-13.84083
Calm_2019_2019-05-12_2019-05-24,Calm_2019,DWELL_PATTERN_IFw1080q010_AEw1080q975,1,7,289,-6,3.460208,24.221453,-20.761245
Calm_2019_2019-05-12_2019-05-24,Calm_2019,DWELL_PATTERN_IFw1080q010_AEw1080q990,1,7,289,-6,3.460208,24.221453,-20.761245
Calm_2019_2019-05-12_2019-05-24,Calm_2019,DWELL_PATTERN_IFw1080q010_AEw336q950,3,7,289,-4,10.380623,24.221453,-13.84083
Calm_2019_2019-05-12_2019-05-24,Calm_2019,DWELL_PATTERN_IFw1080q010_AEw336q975,1,7,289,-6,3.460208,24.221453,-20.761245
Calm_2019_2019-05-12_2019-05-24,Calm_2019,DWELL_PATTERN_IFw1080q010_AEw336q990,1,7,289,-6,3.460208,24.221453,-20.761245
Calm_2019_2019-05-12_2019-05-24,Calm_2019,DWELL_PATTERN_IFw1080q010_AEw720q950,2,7,289,-5,6.920415,24.221453,-17.301038
Calm_2019_2019-05-12_2019-05-24,Calm_2019,DWELL_PATTERN_IFw1080q010_AEw720q975,1,7,289,-6,3.460208,24.221453,-20.761245
Calm_2019_2019-05-12_2019-05-24,Calm_2019,DWELL_PATTERN_IFw1080q010_AEw720q990,1,7,289,-6,3.460208,24.221453,-20.761245
Calm_2019_2019-05-12_2019-05-24,Calm_2019,DWELL_PATTERN_IFw1080q030_AEw1080q950,7,7,289,0,24.221453,24.221453,0.0
Calm_2019_2019-05-12_2019-05-24,Calm_2019,DWELL_PATTERN_IFw1080q030_AEw1080q975,5,7,289,-2,17.301038,24.221453,-6.920415
Calm_2019_2019-05-12_2019-05-24,Calm_2019,DWELL_PATTERN_IFw1080q030_AEw1080q990,5,7,289,-2,17.301038,24.221453,-6.920415
Calm_2019_2019-05-12_2019-05-24,Calm_2019,DWELL_PATTERN_IFw1080q030_AEw336q950,7,7,289,0,24.221453,24.221453,0.0
Calm_2019_2019-05-12_2019-05-24,Calm_2019,DWELL_PATTERN_IFw1080q030_AEw336q975,5,7,289,-2,17.301038,24.221453,-6.920415
Calm_2019_2019-05-12_2019-05-24,Calm_2019,DWELL_PATTERN_IFw1080q030_AEw336q990,5,7,289,-2,17.301038,24.221453,-6.920415
Calm_2019_2019-05-12_2019-05-24,Calm_2019,DWELL_PATTERN_IFw1080q030_AEw720q950,6,7,289,-1,20.761246,24.221453,-3.460207
Calm_2019_2019-05-12_2019-05-24,Calm_2019,DWELL_PATTERN_IFw1080q030_AEw720q975,5,7,289,-2,17.301038,24.221453,-6.920415
Calm_2019_2019-05-12_2019-05-24,Calm_2019,DWELL_PATTERN_IFw1080q030_AEw720q990,5,7,289,-2,17.301038,24.221453,-6.920415
Calm_2019_2019-05-12_2019-05-24,Calm_2019,DWELL_PATTERN_IFw1440q010_AEw1080q950,4,7,289,-3,13.84083,24.221453,-10.380623
Calm_2019_2019-05-12_2019-05-24,Calm_2019,DWELL_PATTERN_IFw1440q010_AEw1080q975,2,7,289,-5,6.920415,24.221453,-17.301038
Calm_2019_2019-05-12_2019-05-24,Calm_2019,DWELL_PATTERN_IFw1440q010_AEw1080q990,2,7,289,-5,6.920415,24.221453,-17.301038
Calm_2019_2019-05-12_2019-05-24,Calm_2019,DWELL_PATTERN_IFw1440q010_AEw336q950,4,7,289,-3,13.84083,24.221453,-10.380623
Calm_2019_2019-05-12_2019-05-24,Calm_2019,DWELL_PATTERN_IFw1440q010_AEw336q975,2,7,289,-5,6.920415,24.221453,-17.301038
Calm_2019_2019-05-12_2019-05-24,Calm_2019,DWELL_PATTERN_IFw1440q010_AEw336q990,2,7,289,-5,6.920415,24.221453,-17.301038
Calm_2019_2019-05-12_2019-05-24,Calm_2019,DWELL_PATTERN_IFw1440q010_AEw720q950,3,7,289,-4,10.380623,24.221453,-13.84083
Calm_2019_2019-05-12_2019-05-24,Calm_2019,DWELL_PATTERN_IFw1440q010_AEw720q975,2,7,289,-5,6.920415,24.221453,-17.301038
Calm_2019_2019-05-12_2019-05-24,Calm_2019,DWELL_PATTERN_IFw1440q010_AEw720q990,2,7,289,-5,6.920415,24.221453,-17.301038
Calm_2019_2019-05-12_2019-05-24,Calm_2019,DWELL_PATTERN_IFw1440q030_AEw1080q950,8,7,289,1,27.681661,24.221453,3.460208
Calm_2019_2019-05-12_2019-05-24,Calm_2019,DWELL_PATTERN_IFw1440q030_AEw1080q975,6,7,289,-1,20.761246,24.221453,-3.460207
Calm_2019_2019-05-12_2019-05-24,Calm_2019,DWELL_PATTERN_IFw1440q030_AEw1080q990,6,7,289,-1,20.761246,24.221453,-3.460207
Calm_2019_2019-05-12_2019-05-24,Calm_2019,DWELL_PATTERN_IFw1440q030_AEw336q950,8,7,289,1,27.681661,24.221453,3.460208
Calm_2019_2019-05-12_2019-05-24,Calm_2019,DWELL_PATTERN_IFw1440q030_AEw336q975,6,7,289,-1,20.761246,24.221453,-3.460207
Calm_2019_2019-05-12_2019-05-24,Calm_2019,DWELL_PATTERN_IFw1440q030_AEw336q990,6,7,289,-1,20.761246,24.221453,-3.460207
Calm_2019_2019-05-12_2019-05-24,Calm_2019,DWELL_PATTERN_IFw1440q030_AEw720q950,7,7,289,0,24.221453,24.221453,0.0
Calm_2019_2019-05-12_2019-05-24,Calm_2019,DWELL_PATTERN_IFw1440q030_AEw720q975,6,7,289,-1,20.761246,24.221453,-3.460207
Calm_2019_2019-05-12_2019-05-24,Calm_2019,DWELL_PATTERN_IFw1440q030_AEw720q990,6,7,289,-1,20.761246,24.221453,-3.460207
Calm_2019_2019-05-12_2019-05-24,Calm_2019,DWELL_PATTERN_IFw336q010_AEw1080q950,4,7,289,-3,13.84083,24.221453,-10.380623
Calm_2019_2019-05-12_2019-05-24,Calm_2019,DWELL_PATTERN_IFw336q010_AEw1080q975,2,7,289,-5,6.920415,24.221453,-17.301038
Calm_2019_2019-05-12_2019-05-24,Calm_2019,DWELL_PATTERN_IFw336q010_AEw1080q990,2,7,289,-5,6.920415,24.221453,-17.301038
Calm_2019_2019-05-12_2019-05-24,Calm_2019,DWELL_PATTERN_IFw336q010_AEw336q950,4,7,289,-3,13.84083,24.221453,-10.380623
Calm_2019_2019-05-12_2019-05-24,Calm_2019,DWELL_PATTERN_IFw336q010_AEw336q975,2,7,289,-5,6.920415,24.221453,-17.301038
Calm_2019_2019-05-12_2019-05-24,Calm_2019,DWELL_PATTERN_IFw336q010_AEw336q990,2,7,289,-5,6.920415,24.221453,-17.301038
Calm_2019_2019-05-12_2019-05-24,Calm_2019,DWELL_PATTERN_IFw336q010_AEw720q950,3,7,289,-4,10.380623,24.221453,-13.84083
Calm_2019_2019-05-12_2019-05-24,Calm_2019,DWELL_PATTERN_IFw336q010_AEw720q975,2,7,289,-5,6.920415,24.221453,-17.301038
Calm_2019_2019-05-12_2019-05-24,Calm_2019,DWELL_PATTERN_IFw336q010_AEw720q990,2,7,289,-5,6.920415,24.221453,-17.301038
Calm_2019_2019-05-12_2019-05-24,Calm_2019,DWELL_PATTERN_IFw336q030_AEw1080q950,5,7,289,-2,17.301038,24.221453,-6.920415
Calm_2019_2019-05-12_2019-05-24,Calm_2019,DWELL_PATTERN_IFw336q030_AEw1080q975,3,7,289,-4,10.380623,24.221453,-13.84083
Calm_2019_2019-05-12_2019-05-24,Calm_2019,DWELL_PATTERN_IFw336q030_AEw1080q990,3,7,289,-4,10.380623,24.221453,-13.84083
Calm_2019_2019-05-12_2019-05-24,Calm_2019,DWELL_PATTERN_IFw336q030_AEw336q950,5,7,289,-2,17.301038,24.221453,-6.920415
Calm_2019_2019-05-12_2019-05-24,Calm_2019,DWELL_PATTERN_IFw336q030_AEw336q975,3,7,289,-4,10.380623,24.221453,-13.84083
Calm_2019_2019-05-12_2019-05-24,Calm_2019,DWELL_PATTERN_IFw336q030_AEw336q990,3,7,289,-4,10.380623,24.221453,-13.84083
Calm_2019_2019-05-12_2019-05-24,Calm_2019,DWELL_PATTERN_IFw336q030_AEw720q950,4,7,289,-3,13.84083,24.221453,-10.380623
Calm_2019_2019-05-12_2019-05-24,Calm_2019,DWELL_PATTERN_IFw336q030_AEw720q975,3,7,289,-4,10.380623,24.221453,-13.84083
Calm_2019_2019-05-12_2019-05-24,Calm_2019,DWELL_PATTERN_IFw336q030_AEw720q990,3,7,289,-4,10.380623,24.221453,-13.84083
Calm_2019_2019-05-12_2019-05-24,Calm_2019,DWELL_PATTERN_IFw720q010_AEw1080q950,4,7,289,-3,13.84083,24.221453,-10.380623
Calm_2019_2019-05-12_2019-05-24,Calm_2019,DWELL_PATTERN_IFw720q010_AEw1080q975,2,7,289,-5,6.920415,24.221453,-17.301038
Calm_2019_2019-05-12_2019-05-24,Calm_2019,DWELL_PATTERN_IFw720q010_AEw1080q990,2,7,289,-5,6.920415,24.221453,-17.301038
Calm_2019_2019-05-12_2019-05-24,Calm_2019,DWELL_PATTERN_IFw720q010_AEw336q950,4,7,289,-3,13.84083,24.221453,-10.380623
Calm_2019_2019-05-12_2019-05-24,Calm_2019,DWELL_PATTERN_IFw720q010_AEw336q975,2,7,289,-5,6.920415,24.221453,-17.301038
Calm_2019_2019-05-12_2019-05-24,Calm_2019,DWELL_PATTERN_IFw720q010_AEw336q990,2,7,289,-5,6.920415,24.221453,-17.301038
Calm_2019_2019-05-12_2019-05-24,Calm_2019,DWELL_PATTERN_IFw720q010_AEw720q950,3,7,289,-4,10.380623,24.221453,-13.84083
Calm_2019_2019-05-12_2019-05-24,Calm_2019,DWELL_PATTERN_IFw720q010_AEw720q975,2,7,289,-5,6.920415,24.221453,-17.301038
Calm_2019_2019-05-12_2019-05-24,Calm_2019,DWELL_PATTERN_IFw720q010_AEw720q990,2,7,289,-5,6.920415,24.221453,-17.301038
Calm_2019_2019-05-12_2019-05-24,Calm_2019,DWELL_PATTERN_IFw720q030_AEw1080q950,7,7,289,0,24.221453,24.221453,0.0
Calm_2019_2019-05-12_2019-05-24,Calm_2019,DWELL_PATTERN_IFw720q030_AEw1080q975,5,7,289,-2,17.301038,24.221453,-6.920415
Calm_2019_2019-05-12_2019-05-24,Calm_2019,DWELL_PATTERN_IFw720q030_AEw1080q990,5,7,289,-2,17.301038,24.221453,-6.920415
Calm_2019_2019-05-12_2019-05-24,Calm_2019,DWELL_PATTERN_IFw720q030_AEw336q950,7,7,289,0,24.221453,24.221453,0.0
Calm_2019_2019-05-12_2019-05-24,Calm_2019,DWELL_PATTERN_IFw720q030_AEw336q975,5,7,289,-2,17.301038,24.221453,-6.920415
Calm_2019_2019-05-12_2019-05-24,Calm_2019,DWELL_PATTERN_IFw720q030_AEw336q990,5,7,289,-2,17.301038,24.221453,-6.920415
Calm_2019_2019-05-12_2019-05-24,Calm_2019,DWELL_PATTERN_IFw720q030_AEw720q950,6,7,289,-1,20.761246,24.221453,-3.460207
Calm_2019_2019-05-12_2019-05-24,Calm_2019,DWELL_PATTERN_IFw720q030_AEw720q975,5,7,289,-2,17.301038,24.221453,-6.920415
Calm_2019_2019-05-12_2019-05-24,Calm_2019,DWELL_PATTERN_IFw720q030_AEw720q990,5,7,289,-2,17.301038,24.221453,-6.920415
Calm_2019_2019-05-12_2019-05-24,Calm_2019,adaptive_IFw1080q010_AEw1080q950,7,7,289,0,24.221453,24.221453,0.0
Calm_2019_2019-05-12_2019-05-24,Calm_2019,adaptive_IFw1080q010_AEw1080q975,2,7,289,-5,6.920415,24.221453,-17.301038
Calm_2019_2019-05-12_2019-05-24,Calm_2019,adaptive_IFw1080q010_AEw1080q990,1,7,289,-6,3.460208,24.221453,-20.761245
Calm_2019_2019-05-12_2019-05-24,Calm_2019,adaptive_IFw1080q010_AEw336q950,5,7,289,-2,17.301038,24.221453,-6.920415
Calm_2019_2019-05-12_2019-05-24,Calm_2019,adaptive_IFw1080q010_AEw336q975,1,7,289,-6,3.460208,24.221453,-20.761245
Calm_2019_2019-05-12_2019-05-24,Calm_2019,adaptive_IFw1080q010_AEw336q990,1,7,289,-6,3.460208,24.221453,-20.761245
Calm_2019_2019-05-12_2019-05-24,Calm_2019,adaptive_IFw1080q010_AEw720q950,4,7,289,-3,13.84083,24.221453,-10.380623
Calm_2019_2019-05-12_2019-05-24,Calm_2019,adaptive_IFw1080q010_AEw720q975,1,7,289,-6,3.460208,24.221453,-20.761245
Calm_2019_2019-05-12_2019-05-24,Calm_2019,adaptive_IFw1080q010_AEw720q990,1,7,289,-6,3.460208,24.221453,-20.761245
Calm_2019_2019-05-12_2019-05-24,Calm_2019,adaptive_IFw1080q030_AEw1080q950,13,7,289,6,44.982699,24.221453,20.761246
Calm_2019_2019-05-12_2019-05-24,Calm_2019,adaptive_IFw1080q030_AEw1080q975,8,7,289,1,27.681661,24.221453,3.460208
Calm_2019_2019-05-12_2019-05-24,Calm_2019,adaptive_IFw1080q030_AEw1080q990,7,7,289,0,24.221453,24.221453,0.0
Calm_2019_2019-05-12_2019-05-24,Calm_2019,adaptive_IFw1080q030_AEw336q950,11,7,289,4,38.062284,24.221453,13.840831
Calm_2019_2019-05-12_2019-05-24,Calm_2019,adaptive_IFw1080q030_AEw336q975,7,7,289,0,24.221453,24.221453,0.0
Calm_2019_2019-05-12_2019-05-24,Calm_2019,adaptive_IFw1080q030_AEw336q990,7,7,289,0,24.221453,24.221453,0.0
Calm_2019_2019-05-12_2019-05-24,Calm_2019,adaptive_IFw1080q030_AEw720q950,10,7,289,3,34.602076,24.221453,10.380623
Calm_2019_2019-05-12_2019-05-24,Calm_2019,adaptive_IFw1080q030_AEw720q975,7,7,289,0,24.221453,24.221453,0.0
Calm_2019_2019-05-12_2019-05-24,Calm_2019,adaptive_IFw1080q030_AEw720q990,7,7,289,0,24.221453,24.221453,0.0
Calm_2019_2019-05-12_2019-05-24,Calm_2019,adaptive_IFw1440q010_AEw1080q950,8,7,289,1,27.681661,24.221453,3.460208
Calm_2019_2019-05-12_2019-05-24,Calm_2019,adaptive_IFw1440q010_AEw1080q975,3,7,289,-4,10.380623,24.221453,-13.84083
Calm_2019_2019-05-12_2019-05-24,Calm_2019,adaptive_IFw1440q010_AEw1080q990,2,7,289,-5,6.920415,24.221453,-17.301038
Calm_2019_2019-05-12_2019-05-24,Calm_2019,adaptive_IFw1440q010_AEw336q950,6,7,289,-1,20.761246,24.221453,-3.460207
Calm_2019_2019-05-12_2019-05-24,Calm_2019,adaptive_IFw1440q010_AEw336q975,2,7,289,-5,6.920415,24.221453,-17.301038
Calm_2019_2019-05-12_2019-05-24,Calm_2019,adaptive_IFw1440q010_AEw336q990,2,7,289,-5,6.920415,24.221453,-17.301038
Calm_2019_2019-05-12_2019-05-24,Calm_2019,adaptive_IFw1440q010_AEw720q950,5,7,289,-2,17.301038,24.221453,-6.920415
Calm_2019_2019-05-12_2019-05-24,Calm_2019,adaptive_IFw1440q010_AEw720q975,2,7,289,-5,6.920415,24.221453,-17.301038
Calm_2019_2019-05-12_2019-05-24,Calm_2019,adaptive_IFw1440q010_AEw720q990,2,7,289,-5,6.920415,24.221453,-17.301038
Calm_2019_2019-05-12_2019-05-24,Calm_2019,adaptive_IFw1440q030_AEw1080q950,14,7,289,7,48.442907,24.221453,24.221454
Calm_2019_2019-05-12_2019-05-24,Calm_2019,adaptive_IFw1440q030_AEw1080q975,9,7,289,2,31.141869,24.221453,6.920416
Calm_2019_2019-05-12_2019-05-24,Calm_2019,adaptive_IFw1440q030_AEw1080q990,8,7,289,1,27.681661,24.221453,3.460208
Calm_2019_2019-05-12_2019-05-24,Calm_2019,adaptive_IFw1440q030_AEw336q950,12,7,289,5,41.522491,24.221453,17.301038
Calm_2019_2019-05-12_2019-05-24,Calm_2019,adaptive_IFw1440q030_AEw336q975,8,7,289,1,27.681661,24.221453,3.460208
Calm_2019_2019-05-12_2019-05-24,Calm_2019,adaptive_IFw1440q030_AEw336q990,8,7,289,1,27.681661,24.221453,3.460208
Calm_2019_2019-05-12_2019-05-24,Calm_2019,adaptive_IFw1440q030_AEw720q950,11,7,289,4,38.062284,24.221453,13.840831
Calm_2019_2019-05-12_2019-05-24,Calm_2019,adaptive_IFw1440q030_AEw720q975,8,7,289,1,27.681661,24.221453,3.460208
Calm_2019_2019-05-12_2019-05-24,Calm_2019,adaptive_IFw1440q030_AEw720q990,8,7,289,1,27.681661,24.221453,3.460208
